OBJECTID,SSAMPLENO,LONGITUDE,LATITUDE,SIO2,AL2O3,FE2O3,TIO2,CAO,MGO,MNO,NA2O,K2O,P2O5,BA,GA,SC,V,TH,PB,NI,CO,RB,SR,Y,ZR,NB,CR,CU,ZN,LA,CE,PR,ND,SM,EU,TB,GD,DY,HO,ER,TM,YB,LU,HF,TA,U,TREE
2154,57B4/6/C/11,76.2127,14.1339,58.54,19.78,9.69,0.73,0.06,0.25,0.05,0.56,0.28,0.03,88,22,12,170,8,32,97,13,10,84,30,266,10,141,56,138,14.8,49,4.41,19.5,4.6,1.9,5,0.8,4.79,1.1,2.9,0.5,3.2,0,6.8,0.67,9.4,111.7
2758,57A15/A1/C/14,76.8209,15.444,69.68,13.73,3.23,0.5,0.85,1.11,0.05,1.36,2.9,0.06,276.9,10.8,6.1,38,7.4,1,11.1,8.7,62.8,65.7,2.5,533.5,16.4,58.3,18.4,9.7,31.98,104.08,6.34,21.76,3.84,0.73,0.62,3.84,3.74,0.67,2.48,0.39,2.55,0.46,12.46,0.96,2.31,179.64
2759,57A15/A2/C/14,76.8265,15.3664,56.8,12.35,2.45,0.4,12.84,1.24,0.04,0.96,2.56,0.07,288.4,7.3,12.8,32.4,11.1,5.2,12.5,6.2,56.7,83,16.6,246.6,14.4,53.8,6.8,12.2,14.76,44.69,3.66,13.69,3.51,0.31,0.46,3.56,4.92,0.59,3.13,0.33,2.4,0.49,8.85,1.07,2.91,92.94
2896,57A/7/A3/C/13,76.2917,15.2917,21.42,6.83,3.74,0.41,33.1,2.26,0.07,0.78,0.2,0.05,138,2.5,36.7,52,2,7.1,4.5,9.7,19.1,223.6,25.4,8.4,2.5,20.1,29.2,5,15.57,17.97,3.62,14.19,2.85,0.73,0.55,3.36,3.59,0.68,2.09,0.37,1.99,0.31,2.5,0.09,3.95,64.51
2754,57A11/B3/C/14,76.625,15.2917,33.47,9.35,2.17,0.54,25.55,2.24,0.05,2.34,0.45,0.07,294,11,15,55,4.8,6.3,12,8,2.5,224,64,181,12,42,14,10,33.89,61.15,7.46,29.13,5.02,1.29,0.82,5.22,4.07,0.76,2.41,0.27,2.09,0.29,10.02,0.74,3.63,148.65
2753,57A11/B2/C/14,76.625,15.375,52.26,12.72,5.97,0.87,7.06,2.35,0.18,0.85,0.54,0.06,346,5.2,12,116,7.7,8.6,59,32,11,154,2.5,209,13,105,31,5,32.99,86.98,7.95,27.08,5.08,1.15,0.85,4.91,4.33,0.9,2.76,0.45,2.53,0.43,6.88,1.15,5.4,173.48
2752,57A11/B1/C/14,76.625,15.4583,49.31,16.73,3.81,0.6,10.5,1.44,0.07,3.1,1.99,0.08,760,13,9,48,6.2,7.9,10,11,17,309,2.5,236,12,53,1.5,40,60.99,128.75,13.31,48.45,7.65,1.81,0.69,5.88,4.07,0.81,2.07,0.24,1.71,0.2,9.76,0.63,4.12,270.75
2757,57A11/C3/C/14,76.7083,15.2917,41.44,12.46,4.6,0.66,17.56,2.05,0.07,1.9,0.42,0.08,319,7.4,15,97,8.2,6.4,26,13,2.5,205,22,144,13,61,27,15,26.23,45.89,6.45,22.99,4.6,1.33,0.64,4.18,3.17,0.65,2.16,0.26,1.74,0.22,4.32,0.51,2.93,116.33
2756,57A11/C2/C/14,76.7083,15.375,56.55,17.44,6.61,0.8,3.46,2.24,0.15,3.12,1.31,0.19,922,13,10,156,4.7,8.9,14,20,2.5,250,2.5,273,14,73,5.9,47,64.06,134.94,13.28,47.96,8.57,2.22,0.85,6.49,3.93,0.58,1.78,0.21,1.86,0.25,9.45,0.75,5.81,280.49
2755,57A11/C1/C/14,76.7083,15.4583,57.02,21.6,4.71,0.59,1.56,1.15,0.04,1.01,1.75,0.06,286,15,5.8,68,6.1,12,22,12,42,170,2.5,166,11,72,14,16,21.31,47.78,5.39,17.56,3.39,0.9,0.44,3.21,2.39,0.52,1.53,0.21,1.38,0.19,6.1,0.56,2.86,102.99
2893,57A/7/C/A2/13,76.2917,15.375,56.86,21.01,6.98,0.75,0.89,1.52,0.04,1.28,2.91,0.06,709.3,17,6.8,59.2,75.8,1,19.3,6.9,158.4,107.3,23.3,690,6.4,47.3,19.3,81.6,127.66,228.68,26.23,83.78,12.61,1.37,1.15,9.28,5.49,0.83,2.37,0.32,2,0.32,11.68,0.74,2.74,492.81
2890,57A/7/C/A1/13,76.2917,15.4583,54.61,20.41,6.21,0.67,2.04,1.12,0.04,1.02,2.57,0.08,707.9,17.3,7.2,64.1,33,8.9,27,10.1,109.6,108.2,35.3,576.6,2.5,39.7,19.3,47.2,107.64,154.57,21.51,68.95,10.18,1.89,1.13,8.81,6.26,0.99,3.23,0.45,2.9,0.5,13.5,1.82,2.6,380.2
2894,57A/7/C/B2/13,76.375,15.375,61.75,19.01,4.95,0.51,0.55,0.81,0.08,1.37,2.77,0.07,347.9,14.6,7.6,61.2,34.3,18.4,30.9,14.5,151,83.5,23.8,343.8,5.8,48,50.4,50.7,93.35,142.58,19.86,66.16,10.96,1.64,1.59,10.14,10.1,1.84,6.16,0.8,5.22,0.76,12.03,3.76,2.52,361.02
2891,57A/7/C/B1/13,76.375,15.4583,53.04,21.96,6.84,0.68,0.96,1.03,0.05,0.64,2.47,0.08,448.1,17.6,7.9,79.2,41.8,10.8,42.7,9.5,143.3,93.2,35.2,560.8,8.6,56.2,27.5,46,31.27,331.7,8.23,29.71,4.73,0.74,0.72,4.58,4.65,0.89,3.07,0.53,3.81,0.65,8.28,3.48,3.04,420.7
8053,57A14/C3/C/14,76.985,15.5106,54.58,21.42,6.73,0.44,0.81,1.1,0.02,0.05,1.98,0.04,94,10,5,97,5.8,3.4,43,12,65,28,2.5,114,11,114,10,5,17.01,36.23,3.8,13.46,2.5,0.57,0.35,2.28,2.13,0.38,1.31,0.19,1.26,0.23,3.94,0.71,1.34,79.42
8050,57A14/B3/C/14,76.8986,15.5444,50.84,13.53,6.06,0.87,7.18,2.91,0.11,0.43,0.73,0.07,306,7.1,13,97,6.3,10,72,25,18,174,2.5,231,14,123,30,5,43.04,91.01,10.69,39.78,8.01,1.9,1.07,7.06,6.31,1.18,3.46,0.55,3.28,0.55,11.78,1.6,5.51,210.83
8046,57A14/A2/C/14,76.8108,15.5969,52.76,21.26,5.95,0.59,1.74,1.14,0.05,0.73,2.78,0.05,503,14,9.2,64,11,9.8,27,14,73,149,2.5,304,18,79,19,22,129.86,161.73,20.62,65.64,9.05,1.66,0.85,5.88,4.07,0.74,2.23,0.37,2.27,0.45,10.7,1.91,5.09,399.54
8052,57A14/C2/C/14,76.94,15.6161,55.78,21.72,7.58,0.44,0.52,0.87,0.02,0.05,1.87,0.04,122,12,5.9,113,5.2,4.4,53,15,70,27,2.5,118,13,133,6.5,10,11.34,71.41,2.63,9.23,1.75,0.43,0.27,1.55,1.7,0.29,1.01,0.14,1.11,0.18,3.15,0.58,1.12,101.49
8049,57A14/B2/C/14,76.8447,15.6231,19.05,4.55,1.99,0.4,41.38,1.32,0.03,2.53,0.21,0.08,323,2.5,17,51,4.6,6.2,6.9,3.9,2.5,296,136,133,12,37,2.1,5,42.42,79.4,9.28,35.06,6.05,1.44,0.56,4.43,2.84,0.49,1.33,0.2,1.19,0.21,4.43,0.43,1.41,180.47
8051,57A14/C1/C/14,76.9742,15.6767,24.37,7.77,2.49,0.37,33.49,1.49,0.06,0.76,0.4,0.06,324,6.2,16,65,2,5.9,29,13,2.5,173,89,79,11,49,18,5,24.15,29.89,5.81,23.77,4.86,1.23,0.6,4.4,3.47,0.61,1.72,0.26,1.57,0.25,2.6,0.26,3.99,98.19
8048,57A14/B1/C/14,76.8383,15.7186,50.27,13.05,4.34,0.71,12.99,2.11,0.08,0.92,0.67,0.08,340,6.9,12,91,4,8.5,24,13,5.7,298,2.5,348,12,69,15,10,35.21,68.68,8.02,29.55,5.47,1.57,0.68,4.76,4.11,0.72,1.98,0.34,1.88,0.38,10.66,0.81,1.88,158.59
2145,57B02/104D/C/13,76.1096,14.6348,84.27,6.7,1.96,0.73,1.48,0.38,0.05,0.95,1.53,0.04,208.8,9.4,8.1,42.2,11.9,11.1,13.9,5.6,33.7,91.2,29.3,571.2,6.6,95.2,9.9,14.1,28.55,57,6.44,24.21,5.31,0.8,1.2,7.03,8.97,1.85,6.39,1.06,6.98,1.16,20.34,0.92,3.33,149.92
2146,57B02/134C/C/13,76.1362,14.6805,33.05,11.57,4.55,0.46,23.24,1.2,0.07,0.17,1.26,0.06,295,9.7,30.2,67.7,8.2,8.3,43.6,11.7,31.8,103.1,25.5,40.8,6.6,54.8,49.6,18.8,16.11,36.16,3.65,13.19,2.73,0.67,0.4,2.66,2.69,0.51,1.72,0.24,1.69,0.25,3.4,0.4,1.36,80.01
2148,57B02/182A/C/13,76.2424,14.7223,52.99,19.94,5,0.45,4.53,1.12,0.05,1.17,2.15,0.04,425.1,17.2,10.4,60.2,21.6,12.2,49.8,7.4,72.8,106.2,19.7,217.2,8.3,57.7,38.5,27.8,43.12,120.83,9.2,28.97,4.45,0.84,0.48,3.35,2.75,0.47,1.48,0.24,1.38,0.25,8,0.74,1.77,214.46
2143,57B02/81D/C/13,76.2011,14.6023,67.85,16.04,5.53,0.22,0.44,0.9,0.03,0.15,3.44,0.05,107.4,16.8,7.2,38,13.2,6.5,17,9.5,82.5,16.6,51.3,155.2,13.3,41.9,30.9,29,19.39,79.46,5.31,19.88,5.04,0.74,1.34,6.84,9.83,1.97,6.6,1.05,6.87,1.14,5.54,1.71,3.44,158.62
2173,57B08/C1/C/13,76.4583,14.2083,49.9,14.14,8.43,0.76,9.01,2.63,0.16,1.49,0.59,0.13,384.2,12.5,21.1,136.4,2,15,82.9,30.1,23.1,157.1,31.7,112.3,7.4,84.2,50.1,46.1,58.74,114.18,12.83,46.13,8.09,1.95,1.21,7.77,7.07,1.34,4.01,0.6,3.62,0.61,6.86,0.61,0.81,260.38
2175,57B8/C3/C/12,76.4583,14.0417,52.03,20.16,13.52,0.93,0.54,1.62,0.23,1.57,1.19,0.06,168,27,30,267,4,27,103,47,44,80,25,122,2.5,237,102,120,14.46,29.82,4.22,18.61,4.47,1.5,0.84,4.95,5.48,1.16,3.42,0.56,3.36,0.54,4.07,0.36,0.25,88.44
2174,57B8/C2/C/12,76.4583,14.125,36.17,13.05,9.49,0.79,17.08,4.09,0.13,0.14,0.25,0.05,74,21,36,163,2,5,100,23,17,91,17,59,8,202,85,78,5.07,9.03,1.4,6.43,1.64,0.59,0.35,1.98,2.29,0.51,1.49,0.24,1.44,0.24,1.44,0.1,0.25,30.72
2892,57A/7/C/C1/13,76.4583,15.4583,57.04,22.05,5.55,0.55,0.91,0.92,0.04,1.52,2.25,0.06,351.1,19.8,7.9,54.3,50.6,30.8,25.1,6.9,156,104,26.4,321.4,9.7,46.8,17.8,53.8,45.22,100.49,8.73,28.35,4.47,1.03,0.5,3.55,2.71,0.47,1.67,0.23,1.79,0.3,17.46,0.82,1.79,195.96
2133,57B1/C/A3/12,76.0201,14.7743,24.44,9.08,5.99,0.51,27.15,4.58,0.05,0.99,0.63,0.03,141,12,1.5,92,1,58,82,17,42,340,24,102,4,184,19,198,25.53,35.9,5.74,21.6,4.65,0.84,0.82,4.86,5.03,0.98,3.1,0.46,2.79,0.45,8.5,0.49,1.64,107.89
2132,57B1/C/A2/12,76.0255,14.8411,55.26,18.76,9.59,0.72,0.64,1.2,0.09,0.3,2.2,0.1,444,19,22,147,8,11,72,21,94,45,23,168,9,164,62,74,32.58,67.87,7.86,29.5,5.76,1.56,0.92,5.51,5.47,1.1,3.25,0.49,3.14,0.53,6.35,0.97,2.33,160.03
2172,57B8/B3/C/12,76.375,14.0417,48.53,18.62,17.14,0.73,0.9,1.83,0.54,0.1,1.88,0.08,298,26,25,174,2,19,134,45,72,38,23,91,2.5,242,95,152,12,26.58,3.09,13.15,3,1.13,0.61,3.35,3.94,0.82,2.45,0.39,2.36,0.38,2.83,0.39,0.63,69.9
2169,57B8/A3/C/12,76.2917,14.0417,47.45,18.34,16.5,1.2,1.47,2.24,0.17,0.05,0.3,0.02,231,26,32,264,2,20,148,62,26,47,25,106,2.5,245,160,186,11.35,21.34,3.17,14.07,3.49,1.23,0.68,3.91,4.35,0.92,2.75,0.44,2.75,0.44,3.08,0.31,0.25,66.98
2171,57B8/B2/C/12,76.375,14.125,50.92,14.59,21.43,0.56,0.53,1.65,0.31,0.05,0.36,0.08,206,23,17,110,2,35,220,31,24,28,16,68,2.5,375,78,80,10.66,22.02,2.68,11.52,2.6,1,0.5,2.92,3.11,0.67,1.97,0.31,1.8,0.29,2.67,0.34,0.65,59.13
2168,57B08/A2/C/13,76.2917,14.125,45.9,15.86,15.65,0.68,3.18,2.4,0.26,0.6,0.28,0.06,250.4,10.7,32.4,217.9,2,12.5,119.5,63.3,16.1,72.1,34,58.4,2.5,147.7,107,54.6,9.18,22.15,2.88,13.27,3.45,1.4,0.77,4.7,5.32,1.06,3.42,0.54,3.44,0.57,3.08,0.23,0.25,67.45
2340,57E/4/C4/SS/10,77.0086,15.1142,32.53,10.36,4.97,0.77,22.71,2.78,0.08,0.97,0.39,0.06,0.06,13,24,88,2,14,48,35,23,293,20,272,7,50,44,58,50.87,71.21,8.8,29.7,4.41,1.88,0.61,3.93,3.4,0.67,1.72,0.27,1.73,0.25,6.06,0.48,1.58,175.52
2341,57E/4/C5/SS/10,77.1147,15.1381,52.78,11.18,5.04,0.99,6.27,2.54,0.11,2.31,0.6,0.06,0.06,21,15,111,12,17,52,25,47,327,26,539,13,79,37,25,42.94,94.88,9.65,38.87,7.58,1.71,1.03,6.55,5.93,1.17,3.23,0.53,3.51,0.51,17.21,1.35,8.73,211.54
2233,57F07/004/C/12,77.284,14.3804,50.12,17.94,10.45,1.12,4.73,2.54,0.12,1.9,1.36,0.75,513.4,17.1,15.8,235.3,9.3,14.3,33.6,33,50.5,758.8,36.9,257.2,9.4,83.1,50.6,49.6,91.03,199.52,26.14,109.51,20.2,5.06,2.29,17.37,12.59,2.2,5.81,0.84,5.25,0.8,9.97,0.47,2.68,481.24
2157,57B4/9/C/11,76.2338,14.2171,32.07,15.85,35.54,0.42,0.25,0.24,3.85,0.08,0.21,0.11,266.6,19.8,12.7,87.5,2,17.3,77,0.5,28.6,40,29.1,82.9,11.6,310.5,30.6,41.9,13.5,40.5,2.85,11.6,2.5,1,0.5,3.2,3.15,0.8,2.3,0.4,2.4,0,3.1,0.43,2.1,81.5
2767,57A16/A1/C/14,76.7632,15.1752,30.88,7.4,4.5,0.44,26.18,1.93,0.06,0.16,0.59,0.07,180.5,6,16.6,51.5,4.8,6.5,37.2,16.1,2.5,71.1,57.1,63.9,8,92.7,29.4,5,8.14,13,1.86,7.03,1.49,0.39,0.28,1.69,1.66,0.37,1.06,0.18,1.04,0.19,3.02,0.43,1.11,36.69
2768,57A16/A2/C/14,76.825,15.1382,48.71,15.06,2.97,0.3,11.19,1.67,0.03,0.78,2.38,0.05,244.2,7.6,10.8,38.6,8.3,119.8,14.7,4.8,42.9,112.2,2.5,137.7,11.1,47.3,212.3,110.2,28.6,56.54,5.6,19.06,3.35,0.75,0.45,2.79,2.49,0.44,1.34,0.21,1.25,0.18,4.53,0.82,2.36,120.26
2771,57A16/B2/C/14,76.8449,15.107,57.07,18.83,7.16,0.82,1.32,1.53,0.14,2.09,2.92,0.12,786.9,13.1,7.1,40.9,15.3,23.1,13.3,18.5,49.6,149.7,2.5,553.1,24.9,71,26.1,76.5,171.74,371.51,23.23,74.79,11.22,2.32,1.38,8.99,7.77,1.39,4.45,0.69,4.51,0.67,19.38,3.08,9.77,675.67
2775,57A16/C3/C/14,76.9634,15.0267,30.7,6.93,5.36,0.54,28.36,2.13,0.04,0.15,0.35,0.04,169.5,6,17.1,75.7,2,6.4,34.1,12.1,2.5,77.2,64,78.4,8.4,106.5,19.2,5,7.01,10.78,1.62,6.38,1.39,0.39,0.27,1.58,1.88,0.32,1.14,0.17,1.13,0.22,4.56,0.81,1.33,32.7
2769,57A16/A3/C/14,76.7981,15.0593,51.33,15.15,4.21,0.36,8.88,1.94,0.05,1.24,3.54,0.05,179.5,10,9,75.3,6.7,6.2,16.8,12.4,107,95.1,2.5,137,9.7,61.5,12.3,5,9.51,16.65,1.99,6.97,1.71,0.38,0.38,2.07,2.74,0.56,1.76,0.28,1.68,0.26,3.94,0.72,5.82,44.87
2772,57A16/B3/C/14,76.8714,15.0615,47.45,11.52,6.96,0.49,11.94,2.82,0.09,1.36,1.22,0.06,215.9,9,18.1,100.5,2,4.9,50.5,22.9,10.1,163.1,2.5,106.7,9.7,198,48,10.6,13.19,19.2,2.7,10.52,2.31,0.58,0.36,2.17,2.3,0.41,1.52,0.22,1.54,0.23,4.89,0.58,1.12,55.08
2879,57B09/A1/C/S/13,76.5431,14.9519,47.8,25.32,12.36,0.42,0.35,0.52,0.34,0.08,1.92,0.04,279.5,14,7.9,63.1,11.1,31.8,26.6,5.8,86.3,60.2,11,138.1,2.5,88.4,372.8,76.9,38.21,71.63,7.36,25.07,4.4,0.97,0.57,3.76,3.54,0.66,1.94,0.32,2.08,0.33,7.48,1.38,4.62,157.08
2877,57B09/A2/C/S/13,76.6063,14.8555,56.41,16.43,4.44,0.49,4.35,1.66,0.07,1.08,2.8,0.05,339.2,12.9,14.3,52.1,27.8,29.2,29,8.2,167.7,136.9,38.2,180.4,10.2,45.4,22.5,42.9,25.81,57.71,5.35,19.02,3.88,0.76,0.62,3.63,4.08,0.81,2.54,0.44,2.95,0.47,10.88,3.64,3.82,124.44
2874,57B09/A3/C/S/13,76.5305,14.7569,58.7,18.11,4.98,0.48,2.91,1.18,0.08,1.51,2.52,0.05,426,15.5,11.4,65,13.2,19.1,39.7,11.2,109.3,156.4,27.9,298.4,5,53.5,23.5,32.4,27.08,52.28,5.38,18.95,3.64,0.89,0.58,3.32,3.77,0.74,2.3,0.4,2.66,0.42,10.47,1.34,3.15,119.09
2875,57B09/B3/C/S/13,76.5916,14.7679,55.46,16.38,4.18,0.46,6.17,1.39,0.1,3.16,2.3,0.05,605.1,12.2,14.4,60,11.8,21.1,31.6,11.2,101,254.9,27.7,266.6,5.2,57.2,25.9,32,42.86,84.98,8.98,32.15,6.3,1.3,1.21,6.6,8.81,1.83,6.04,1.03,6.79,1.08,15.91,3.64,9.16,203.36
2751,57A11/A2/C/14,76.5417,15.2917,55.56,15.87,4.33,0.59,5.69,1.84,0.1,0.39,2.86,0.06,409,5.2,11,111,8.1,12,48,23,53,112,2.5,164,12,84,29,34,37.34,80.12,8.04,30.29,5.5,1.23,0.56,4.11,3.71,0.78,2.01,0.3,2.02,0.3,5.56,1.17,6.12,172.2
2750,57A11/A2/C/14,76.5417,15.375,23.71,6.81,2.2,0.39,31.42,1.59,0.04,1.74,0.28,0.07,180,7.9,17,64,4.1,5.7,22,7.3,2.5,132,91,80,11,44,13,5,19.43,32.59,4.34,17.03,3.21,0.72,0.35,2.89,2.3,0.53,1.19,0.22,1.45,0.2,5.48,0.3,2.88,83.56
2749,57A11/A1/C/14,76.5417,15.4583,44.63,10.29,5.91,1.28,17.2,2.88,0.12,2.01,1.65,0.28,1004,12,18,140,16,9.4,30,23,35,217,17,346,20,89,37,43,62.77,170.62,16.25,60.78,11.55,2.18,1.22,8.81,6.42,1.24,3.02,0.4,3.55,0.52,13.74,1.53,7.69,340.52
2205,57F4/A3/C/13,77.06,14.03,52.87,23.16,7.28,0.7,0.87,0.92,0.05,0.67,1.73,0.05,365.7,16.2,10.9,97,9.3,21.6,43.2,18,101.3,97.6,15.9,345.5,2.5,61,33.1,46.9,28.06,62.58,6.74,23.12,4.24,1.13,0.53,3.67,2.96,0.53,1.53,0.25,1.62,0.26,11.45,0.99,0.56,133.55
2211,57F4/C3/C/13,77.207,14.037,60.14,19.86,4.99,0.61,0.86,0.72,0.05,1.18,3.55,0.1,579.6,15.6,8.4,59.9,27.9,17.1,27.3,7.4,148.8,123.1,37.7,591.9,12,43.5,22.9,42.8,59.36,153.47,13.8,48.83,9.51,1.44,1.35,8.37,8.28,1.63,4.73,0.78,4.63,0.75,23.59,2.71,4.12,308.56
2208,57F4/B3/C/13,77.092,14.046,56.07,22.74,5.47,0.52,0.98,0.79,0.04,1.31,2.57,0.05,360.1,17.5,6.7,56.5,32.1,11.2,23.3,5,134.8,107.7,19.8,573.8,2.5,36.6,11.8,41.9,91.66,221.48,19.01,62.15,9.71,1.52,0.99,6.98,4.95,0.9,2.6,0.45,2.65,0.47,23.04,0.91,4.32,418.54
2207,57F4/B2/C/13,77.104,14.116,59.14,19.73,5.6,0.63,1.15,0.87,0.06,1.22,2.84,0.08,597.6,14.9,8.7,68.6,30.6,15.9,31.6,9.4,123.2,126.9,34.5,924.3,9,57.9,25.2,34.1,88.74,136.22,18.77,63.86,10.77,1.79,1.2,8.44,6.83,1.25,3.58,0.59,3.8,0.61,24.27,1.57,1.45,338.01
2204,57F4/A2/C/13,77.025,14.115,55.35,20.17,8,0.62,1.58,1.24,0.09,0.86,1.99,0.07,476.6,13.3,13.4,100.9,14.5,19.2,85,20.6,86.1,105.3,29.8,684.2,2.5,151.8,54.4,35.2,34.07,87.72,7.93,28.97,5.6,1.23,0.81,5.17,4.8,0.93,2.85,0.48,3.18,0.54,20.91,1,0.94,179.11
2210,57F4/C2/C/13,77.179,14.144,55.23,20.02,6.12,0.77,2.38,1.07,0.09,1.84,2.46,0.07,572.3,18.2,7.8,53.4,34.2,19.6,21.6,12.4,113.8,135.4,50.7,558.7,14.2,35.3,25.1,77.3,201.68,326.73,43.97,128.54,20.51,2.81,2.41,16.13,13,2.37,6.6,0.99,5.56,0.87,22.98,2.41,9.31,756.04
2206,57F4/B1/C/13,77.092,14.195,57.47,20.71,5.81,0.62,2.12,0.88,0.06,1.81,2.05,0.08,267,16.9,14,96,15.3,23.1,35.9,11.6,97.3,148.8,25.5,461.7,5.2,57.5,38.1,45.1,26.73,52.19,6.38,23.13,4.59,1.26,0.76,4.66,4.83,0.98,2.95,0.51,3.19,0.55,13.69,1.15,0.98,128.05
2203,57F4/A1/C/13,77.037,14.208,54.54,18.59,5.77,0.7,2.56,0.97,0.08,0.93,2.72,0.05,661.7,14.7,12.5,74.9,27.2,13.9,38.3,13.6,122.3,127.5,30.9,601.1,7.9,50,30.5,39.2,74.15,120.02,14.54,49.27,7.8,1.56,0.93,6.41,5.14,0.93,2.66,0.46,2.88,0.46,18.66,1.27,1.04,280.8
2209,57F4/C1/C/13,77.212,14.218,54.64,20.84,6.88,1.05,1.65,1.67,0.1,1.2,1.94,0.11,497.6,18.1,10.3,80.3,30.2,20.8,23.5,16.3,91.6,133.6,69.1,799.4,16.3,41.9,29.6,78.9,175.22,316.45,45.02,141.07,23.38,3.7,2.7,17.9,14.7,2.66,7.21,1.15,6.41,0.96,28.49,2.3,7.29,740.63
2722,57A6/C1/C/14,76.3125,15.7183,57.44,19.74,5.49,0.76,2.34,1.42,0.06,1.49,2.23,0.08,459,8.8,8.7,87,6.2,15,27,15,29,214,2.5,430,14,83,18,10,54.5,103.82,10.84,39.97,7.02,1.62,0.79,5.36,4.34,0.81,2.12,0.36,2.23,0.36,19.04,0.85,1.96,228.78
2725,57A6/C4/C/14,76.3667,15.7289,53.49,22.16,7.33,1.02,2.12,2.52,0.06,0.9,1.96,0.1,251,12,8.7,94,6.3,13,25,19,34,233,2.5,440,14,111,20,32,52.8,120.2,11.18,39.44,6.68,2.05,0.72,5.17,3.78,0.69,1.99,0.3,1.98,0.3,15.86,0.87,2.45,242.11
2726,57A6/C5/C/14,76.3703,15.5919,53.91,23.02,7.31,0.81,1.3,0.85,0.07,0.59,2.59,0.08,687,16,14,131,16,14,63,17,128,192,8.8,492,12,152,40,22,36.5,71.04,7.32,25.42,4.85,1.15,0.59,3.74,3.02,0.65,1.53,0.26,2.24,0.3,16.33,0.64,1.37,154.87
2727,57A6/C6/C/14,76.3928,15.5378,59.45,19.7,4.59,0.55,1.19,1.2,0.08,2.1,3.36,0.06,531,18,5.1,18,19,1,6.7,12,75,175,2.5,339,21,85,6.4,22,90.12,173.35,16.46,54.53,8.96,1.45,0.83,6.18,3.73,0.6,1.4,0.2,1.63,0.24,14.61,0.75,3.67,353.5
